away_team_runs	b	b_height	batter	des	des_es	event	event_es	event_num	gid	home_team_runs	key	num	o	p_throws	parent_key	parent_table	pitcher	play_guid	player	s	score	stand	start_tfs	start_tfs_zulu	text
4	0	6-1	434158	Curtis Granderson grounds out, second baseman Adam Rosales to first baseman Wil Myers.  	Curtis Granderson batea rodado de out, segunda base Adam Rosales a primera base Wil Myers.  	Groundout	Roletazo de Out	543	gid_2016_05_07_nynmlb_sdnmlb_1	3	0	70	1	R	0	top	453646	5c86ba6f-1c3b-4442-9a71-d0d22c9fb547		1		L	031655	2016-05-08T03:16:55Z	
5	2	6-0	431151	David Wright homers (4) on a line drive to left field.  	David Wright batea jonrón (4) con línea por el jardín izquierdo.  	Home Run	Jonrón	550	gid_2016_05_07_nynmlb_sdnmlb_1	3	1	71	1	R	0	top	453646	d9f45b8d-f12d-401a-82f7-b7d8fef987f3		0	T	R	031808	2016-05-08T03:18:08Z	
6	0	6-1	624424	Michael Conforto homers (5) on a fly ball to right field.  	Michael Conforto batea jonrón (5) con elevado por el jardín derecho.  	Home Run	Jonrón	556	gid_2016_05_07_nynmlb_sdnmlb_1	3	2	72	1	R	0	top	453646	7d24e0ce-82d4-48b7-bd8e-8207a00c8383		1	T	L	031922	2016-05-08T03:19:22Z	
6	4	5-10	493316	Yoenis Cespedes walks.  	Yoenis Cespedes recibe base por bolas.  	Walk	Base por Bolas	563	gid_2016_05_07_nynmlb_sdnmlb_1	3	3	73	1	R	0	top	453646	3b11941f-43f5-4404-92d3-a56777d73e3d		0		R	032030	2016-05-08T03:20:30Z	
6	1	6-4	446263	Lucas Duda flies out to center fielder Jon Jay.  	Lucas Duda batea elevado de out a jardinero central Jon Jay.  	Flyout	Elevado de Out	569	gid_2016_05_07_nynmlb_sdnmlb_1	3	4	74	2	R	0	top	453646	14a6d3b9-7282-4dbb-84d3-bced91f89d9e		0		L	032222	2016-05-08T03:22:22Z	
6	0	6-3	435522	Neil Walker grounds out, second baseman Adam Rosales to first baseman Wil Myers.  	Neil Walker batea rodado de out, segunda base Adam Rosales a primera base Wil Myers.  	Groundout	Roletazo de Out	573	gid_2016_05_07_nynmlb_sdnmlb_1	3	5	75	3	R	0	top	453646	73f34851-77a2-4c03-b01a-ed85317a2255		0		L	032325	2016-05-08T03:23:25Z	
6	2	6-0	519083	Derek Norris flies out to right fielder Curtis Granderson.  	Derek Norris batea elevado de out a jardinero derecho Curtis Granderson.  	Flyout	Elevado de Out	591	gid_2016_05_07_nynmlb_sdnmlb_1	3	6	76	1	R	0	bottom	544727	8ad9d64d-1bd0-4f97-8812-d56f127f0fb3		2		R	032653	2016-05-08T03:26:53Z	
6	0	6-3	543105	Alex Dickerson grounds out, second baseman Neil Walker to first baseman Lucas Duda.  	Alex Dickerson batea rodado de out, segunda base Neil Walker a primera base Lucas Duda.  	Groundout	Roletazo de Out	597	gid_2016_05_07_nynmlb_sdnmlb_1	3	7	77	2	R	0	bottom	544727	7ef2cc9c-db3e-41ca-8445-7b27b6cce951		0		L	033033	2016-05-08T03:30:33Z	
6	2	6-2	489267	Adam Rosales strikes out swinging.  	Adam Rosales se poncha tirándole.  	Strikeout	Ponche	605	gid_2016_05_07_nynmlb_sdnmlb_1	3	8	78	3	R	0	bottom	544727	a1cb4d5e-291f-43a6-b779-3c38e2804810		3		R	033116	2016-05-08T03:31:16Z	
				Adam Rosales strikes out swinging.  	Adam Rosales se poncha tirándole.  	Strikeout	Ponche		gid_2016_05_07_nynmlb_sdnmlb_1		9	78			0	game		a1cb4d5e-291f-43a6-b779-3c38e2804810	489267						
