gid	key	parent_key	parent_table	text	x0	z0
gid_2016_05_07_nynmlb_sdnmlb_1	0	4	type		-1.82	5.894
gid_2016_05_07_nynmlb_sdnmlb_1	1	4	type		-1.703	5.65
gid_2016_05_07_nynmlb_sdnmlb_1	2	4	type		-2.031	5.684
gid_2016_05_07_nynmlb_sdnmlb_1	3	4	type		-1.8	5.694
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	type		-1.932	5.564
gid_2016_05_07_nynmlb_sdnmlb_1	5	4	type		-1.95	5.746
gid_2016_05_07_nynmlb_sdnmlb_1	6	5	type		-1.723	5.843
gid_2016_05_07_nynmlb_sdnmlb_1	7	5	type		-1.56	5.883
gid_2016_05_07_nynmlb_sdnmlb_1	8	5	type		-1.652	5.749
gid_2016_05_07_nynmlb_sdnmlb_1	9	5	type		-1.891	5.788
gid_2016_05_07_nynmlb_sdnmlb_1	10	5	type		-1.741	5.769
gid_2016_05_07_nynmlb_sdnmlb_1	11	5	type		-1.6	5.723
gid_2016_05_07_nynmlb_sdnmlb_1	12	5	type		-1.686	5.712
gid_2016_05_07_nynmlb_sdnmlb_1	13	5	type		-1.75	5.943
gid_2016_05_07_nynmlb_sdnmlb_1	14	5	type		-1.674	5.711
gid_2016_05_07_nynmlb_sdnmlb_1	15	5	type		-1.817	5.711
gid_2016_05_07_nynmlb_sdnmlb_1	16	5	type		-1.722	5.793
gid_2016_05_07_nynmlb_sdnmlb_1	17	5	type		-1.798	5.749
gid_2016_05_07_nynmlb_sdnmlb_1	18	5	type		-1.598	5.754
gid_2016_05_07_nynmlb_sdnmlb_1	19	5	type		-1.666	5.631
gid_2016_05_07_nynmlb_sdnmlb_1	20	5	type		-1.688	5.709
