avg_x0	avg_z0	gid	id	key	movement	num	parent_key	parent_table	pfx	text	vel
-2.07	5.76	gid_2016_05_07_nynmlb_sdnmlb_1	CH	0	6.12	2	0	types	9.30		85.45
-1.81	5.70	gid_2016_05_07_nynmlb_sdnmlb_1	FC	1	3.27	1	0	types	10.24		91.70
-2.01	5.86	gid_2016_05_07_nynmlb_sdnmlb_1	SL	2	7.36	11	0	types	3.32		86.23
-1.88	5.84	gid_2016_05_07_nynmlb_sdnmlb_1	FF	3	3.53	58	0	types	9.78		92.45
-2.03	5.90	gid_2016_05_07_nynmlb_sdnmlb_1	SL	4	7.18	2	1	types	3.59		85.80
-2.06	5.92	gid_2016_05_07_nynmlb_sdnmlb_1	FF	5	3.47	7	1	types	10.54		92.49
-2.05	5.90	gid_2016_05_07_nynmlb_sdnmlb_1	FC	6	3.59	1	2	types	9.45		92.40
-2.30	5.86	gid_2016_05_07_nynmlb_sdnmlb_1	SL	7	7.45	7	2	types	2.33		85.93
-2.18	5.93	gid_2016_05_07_nynmlb_sdnmlb_1	FF	8	3.70	14	2	types	9.75		92.03
-2.10	6.02	gid_2016_05_07_nynmlb_sdnmlb_1	FC	9	3.54	1	3	types	10.60		90.20
-2.07	5.73	gid_2016_05_07_nynmlb_sdnmlb_1	SL	10	6.93	4	3	types	3.42		87.35
-2.09	5.77	gid_2016_05_07_nynmlb_sdnmlb_1	FF	11	3.51	20	3	types	10.01		92.50
-2.26	5.80	gid_2016_05_07_nynmlb_sdnmlb_1	SL	12	7.54	1	4	types	3.32		86.70
-2.04	5.92	gid_2016_05_07_nynmlb_sdnmlb_1	FF	13	3.33	4	4	types	10.93		91.50
-1.76	5.98	gid_2016_05_07_nynmlb_sdnmlb_1	FC	14	3.16	6	5	types	10.89		91.23
-1.85	5.81	gid_2016_05_07_nynmlb_sdnmlb_1	SL	15	5.47	1	5	types	6.91		87.30
-1.80	5.93	gid_2016_05_07_nynmlb_sdnmlb_1	FF	16	3.25	13	5	types	10.37		91.66
-2.13	5.96	gid_2016_05_07_nynmlb_sdnmlb_1	SL	17	6.04	2	6	types	5.05		86.25
-1.94	5.99	gid_2016_05_07_nynmlb_sdnmlb_1	FF	18	3.20	5	6	types	10.31		92.18
-2.72	6.47	gid_2016_05_07_nynmlb_sdnmlb_1	IN	19	7.77	4	7	types	9.96		75.75
-2.11	5.88	gid_2016_05_07_nynmlb_sdnmlb_1	SL	20	7.66	1	7	types	2.09		85.70
-2.09	5.79	gid_2016_05_07_nynmlb_sdnmlb_1	FF	21	3.33	8	7	types	10.57		92.96
-2.18	5.87	gid_2016_05_07_nynmlb_sdnmlb_1	SL	22	6.75	5	8	types	4.51		86.04
-2.04	5.87	gid_2016_05_07_nynmlb_sdnmlb_1	FF	23	3.31	11	8	types	10.34		92.14
-2.02	5.93	gid_2016_05_07_nynmlb_sdnmlb_1	FC	24	3.94	1	9	types	9.83		91.40
-2.11	5.86	gid_2016_05_07_nynmlb_sdnmlb_1	SL	25	7.29	9	9	types	3.33		85.56
-1.87	5.86	gid_2016_05_07_nynmlb_sdnmlb_1	FF	26	3.58	13	9	types	9.93		91.94
-2.07	5.86	gid_2016_05_07_nynmlb_sdnmlb_1	SL	27	7.86	3	10	types	1.23		86.40
-1.95	5.93	gid_2016_05_07_nynmlb_sdnmlb_1	FF	28	4.00	8	10	types	8.60		91.74
-2.05	5.87	gid_2016_05_07_nynmlb_sdnmlb_1	SL	29	7.38	4	11	types	3.43		85.82
-1.90	5.85	gid_2016_05_07_nynmlb_sdnmlb_1	FF	30	3.33	7	11	types	10.73		91.87
-2.17	5.93	gid_2016_05_07_nynmlb_sdnmlb_1	SL	31	8.25	2	12	types	2.78		84.85
-1.96	5.90	gid_2016_05_07_nynmlb_sdnmlb_1	FF	32	4.02	6	12	types	8.93		91.72
-2.03	5.76	gid_2016_05_07_nynmlb_sdnmlb_1	SL	33	6.93	2	13	types	3.26		87.35
-1.92	5.80	gid_2016_05_07_nynmlb_sdnmlb_1	FF	34	3.66	22	13	types	9.41		92.42
-2.07	5.76	gid_2016_05_07_nynmlb_sdnmlb_1	CH	35	6.12	2	14	types	9.30		85.45
-1.83	5.84	gid_2016_05_07_nynmlb_sdnmlb_1	SL	36	6.99	1	14	types	3.82		87.50
-1.88	5.91	gid_2016_05_07_nynmlb_sdnmlb_1	FF	37	3.19	12	14	types	10.71		92.92
-1.81	5.70	gid_2016_05_07_nynmlb_sdnmlb_1	FC	38	3.27	1	15	types	10.24		91.70
-1.84	5.87	gid_2016_05_07_nynmlb_sdnmlb_1	SL	39	7.12	2	15	types	4.55		86.65
-1.74	5.79	gid_2016_05_07_nynmlb_sdnmlb_1	FF	40	3.51	11	15	types	9.35		92.78
